品名コード,品名漢字,カテゴリ_ブランド_,シリーズ,付加価値品フラグ,会社_文字型_,Primary_key,ソート
430544,Ｋ１１５１１０　家庭用チルド卵加工品ＮＢ,キユーピー3分クッキング,グロッサリー,対象,11,11_430544,210
93165,Ｃ１１０１２３　家庭用タマゴＮＢ加工品,キユーピー3分クッキング,グロッサリー,対象,11,11_93165,210
93438,（代表）家庭用タマゴ加工業態対応ＮＢ廃止,キユーピー3分クッキング,グロッサリー,対象,11,11_93438,210
40749,ＱＰ３分鮭のアクア３種ハーブ＆ガーリック,キユーピー3分クッキング,精肉・鮮魚,対象,11,11_40749,220
41483,小袋）ＱＰ３分アクア塩こうじ＆レモン,キユーピー3分クッキング,精肉・鮮魚,対象,11,11_41483,220
40752,ＱＰ３分　白身魚のアクア塩こうじ＆レモン,キユーピー3分クッキング,精肉・鮮魚,対象,11,11_40752,220
41480,小袋）ＱＰ３分アクア　ハーブ＆ガーリック,キユーピー3分クッキング,精肉・鮮魚,対象,11,11_41480,220
43320,ＱＰのたまご　つぶしてたまごのタルタル,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_43320,510
52063,ＱＰのたまご　厚焼きたまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_52063,510
55690,ＱＰのたまご　つぶしてたまごサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_55690,510
55691,ＱＰのたまご　つぶしてポテトサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_55691,510
3755,ＱＰのたまご　ネギダレねぎ塩たまご　Ｃ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_3755,510
3753,ＱＰのたまご　ネギダレうま辛たまご　Ｃ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_3753,510
1310,ＱＰのたまご　ネギダレねぎ塩たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_1310,510
1313,ＱＰのたまご　ネギダレうま辛たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_1313,510
37227,ＱＰのたまご　ネギダレねぎ塩たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_37227,510
38858,ＱＰのたまご　麻辣ダレ担々風たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_38858,510
37226,ＱＰのたまご　ネギダレうま辛たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_37226,510
2522,ＱＰのたまご　ゆでたま　ほんのり塩味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_2522,510
2523,ＱＰのたまご　ゆでたま　燻製風味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_2523,510
41318,ＱＰのたまご　ネギダレねぎ塩たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_41318,510
41315,ＱＰのたまご　ネギダレうま辛たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_41315,510
41320,ＱＰのたまご　麻辣ダレ担々風たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_41320,510
13581,ＱＰのたまご　レンジでとろ～り目玉焼き風,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_13581,510
36917,ＱＰのたまご　ゆでたまご燻製風味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_36917,510
49510,ＱＰのたまご　ゆでたまごほんのりしお味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_49510,510
56955,ＱＰのたまご　つぶしてつくるたまごサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_56955,510
56956,ＱＰのたまご　つぶしてつくるポテトサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_56956,510
15750,めんたい釜玉うどんつゆ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_15750,510
15751,あごだし釜玉うどんつゆ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_15751,510
47152,ＱＰのたまご　ゆでたまごしお味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_47152,510
44403,ＱＰのたまご　つぶしてたまごサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_44403,510
52872,ＱＰのたまご　つぶしてポテトサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_52872,510
52873,ＱＰのたまご　つぶしてマカロニサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_52873,510
56932,ＱＰのたまご　つぶしてつくるたまごサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_56932,510
